Array Configuration,User Distribution,Propagation Environment,Side-lobe Levels (SLL),SNR,Array Gain,RF Chains,Phase Shifters,Power Consumption,Algorithm Type,Excitation Spacing,Environment Condition,SNR Classification
4x32,11.549454139558176,suburban,-16.692390903795843,7.611006952746627,27.406580691081885,8,6,156.36097746620888,CMA-ES-SA,1.2066555653441022,NLoS,0
1x8,640.0373564815729,urban,-7.366954290597757,13.59977745341758,25.517228773173038,3,2,118.27360411365572,CMA-ES-SA,0.61326422435188,NLoS,0
4x32,60.624027627679716,suburban,-27.92403105474534,28.44470729775716,11.679790027783179,1,4,132.0221184039848,CMA-ES-SA,0.1906799046759714,NLoS,1
4x32,265.0311481303846,suburban,-25.22370328228293,9.547637357069583,27.806183955491285,6,1,29.77506146620406,CMA-ES,0.9916873075355138,NLoS,0
1x8,68.92945334429396,suburban,-18.981126413967054,24.414786833808723,19.43534302299647,1,4,17.578184482403085,CMA-ES,1.2682871142187282,NLoS,1
1x8,607.7574984198939,rural,-15.381079791567382,32.52277558413503,24.877242897719967,3,7,72.82288092944265,CMA-ES-SA,1.0309279930364939,LoS,1
4x32,689.7240143576807,suburban,-9.594303703429993,25.39510279273161,12.800784625287044,5,8,166.06710416926612,SA,0.6951045306682275,NLoS,1
2x16,123.34276168524606,urban,-5.2934471214203285,29.330650678766805,23.414390514140962,4,2,98.49925890419479,CMA-ES,0.27269505845069986,NLoS,1
4x32,390.0004942145297,rural,-20.278712588147087,8.269148879117473,14.726520352189159,7,3,52.44486571010931,SA,1.3750839417922969,NLoS,0
4x32,461.6741438659866,urban,-28.814609096497875,12.521954780061634,18.76761794281863,6,1,168.564290983815,CMA-ES-SA,0.4863416560547361,NLoS,0
4x32,375.36249154330744,rural,-9.97071241761688,31.83616556721773,10.337257401642088,3,7,53.439179143304855,CMA-ES,0.4140018510901431,NLoS,1
4x32,129.8147504803411,rural,-14.890482022929797,26.453168408542677,13.032212758609521,8,4,164.94380741577893,CMA-ES,1.2423673318535158,LoS,1
1x8,424.75831228560065,rural,-25.03642852829496,24.186614791319336,11.841609862472396,8,8,96.06611087444817,CMA-ES,1.4737079142134,LoS,1
4x32,753.666267330334,rural,-17.629288584464497,24.913002083651,14.794883458765169,2,5,98.06402858078354,CMA-ES,1.0242243622426646,LoS,1
2x16,80.29758788792292,urban,-11.442243861656891,17.426016629139305,12.000361800486445,7,9,61.81672587306601,CMA-ES-SA,0.9747346846343707,NLoS,0
1x8,89.37821394108441,suburban,-10.739705323283907,6.336698948529596,23.838200532391237,1,6,181.03306397087695,CMA-ES,0.5472032169094876,NLoS,0
2x16,361.22357891762437,urban,-17.50953970003095,28.53324626212187,10.580798044184387,2,2,26.869202381885476,CMA-ES-SA,0.12857883095918107,NLoS,1
2x16,942.3084545027358,suburban,-22.36963674677852,25.361397086460617,22.35481001249996,8,1,37.43719724766966,CMA-ES,0.36851701215179344,LoS,1
2x16,671.8869202556849,urban,-5.656435449037662,19.18413392338174,12.814156616511486,1,1,130.81810596677946,CMA-ES-SA,0.9182026111792005,LoS,0
